"","fieldno","Ntmax","Npmax","Nltmax"
"1","INDkutDS1301",34,30,5
"2","INDkutDS1302",36,32,5
"3","INDkutDS1303",36,30,5
"4","INDkutDS1304",30,27,5
"5","INDkutDS1305",30,26,5
"6","INDkutDS1306",22,19,5
"7","INDkutDS1307",26,19,5
"8","INDkutDS1308",20,16,5
"9","INDkutDS1309",21,18,5
"10","INDkutDS1310",26,23,5
"11","INDkutDS1311",24,21,5
"12","INDkutDS1312",20,17,6
"13","INDkutDS1313",26,21,5
"14","INDkutDS1314",33,22,5
"15","INDkutDS1315",28,25,5
"16","INDkutWS1301",32,30,5
"17","INDkutWS1302",336,32,5
"18","INDkutWS1303",34,30,5
"19","INDkutWS1304",31,27,5
"20","INDkutWS1305",30,26,5
"21","INDkutWS1306",22,19,5
"22","INDkutWS1307",23,19,5
"23","INDkutWS1308",20,16,5
"24","INDkutWS1309",21,18,5
"25","INDkutWS1310",26,23,5
"26","INDkutWS1311",24,21,5
"27","INDkutWS1312",20,17,6
"28","INDkutWS1313",26,21,NA
"29","INDkutWS1314",28,25,5
"30","INDkutWS1315",22,19,5
